Title: Temperature and Distance Dependence of Tidal Circularization in Close 
       Binaries: A Catalog of Eclipsing Binaries in the Southern Hemisphere 
       Observed by the TESS Satellite.  
Authors: Justesen A.B., Albrecht S. 
Table: Orbital Parameters of TESS Eclipsing Binaries
================================================================================
Byte-by-byte Description of file: apjabefcdt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  9 I9     ---   TIC    TESS Input Catalog ID
  11- 25 E15.9  d     P      Orbital period
  27- 41 E15.9  ---   t1     Time of primary eclipse (1)
  43- 57 E15.9  ---   t2     Time of secondary eclipse (1)
  59- 73 E15.9  ---   ecosw  Eccentricity times cos(longitude of periastron) 
  75- 89 E15.9  ---   d1     Depth of primary eclipse
  91-105 E15.9  ---   d2     Depth of secondary eclipse
 107-121 E15.9  mag   Tmag   TESS apparent magnitude
--------------------------------------------------------------------------------
Note (1): TESS Barycentric Julian Date (BJD - 2457000).
--------------------------------------------------------------------------------
436158814 7.214659886e+00 1.473036944e+03 1.469676180e+03 5.264513113e-02 1.921745417e-01 1.695903595e-01 1.287220000e+01 
149319411 4.752139237e+00 1.520956812e+03 1.518581079e+03 1.113032390e-04 1.769045061e-01 1.632309158e-01 9.495400000e+00 
 53292822 4.936754828e+00 1.519045886e+03 1.517463971e+03 2.835903465e-01 1.765674831e-01 1.710435507e-01 6.166000000e+00 
160148385 6.850544263e+00 1.354320116e+03 1.357744898e+03 1.121255991e-04 1.432722043e-02 1.422759150e-02 1.191160000e+01 
 33715938 2.878593257e+00 1.573124097e+03 1.574563223e+03 9.314692555e-05 3.449112795e-01 3.461905534e-01 1.028820000e+01 
418720347 1.803848721e+00 1.654384738e+03 1.655286489e+03 1.511343932e-04 1.815953272e-01 8.065436852e-02 1.010870000e+01 
 39018208 6.649339644e+00 1.357710818e+03 1.354518418e+03 3.125152040e-02 2.605333031e-02 5.169818499e-03 1.110320000e+01 
365570620 1.716921085e+00 1.469024636e+03 1.469882690e+03 3.715133322e-04 4.778088929e-02 4.616723681e-02 1.048890000e+01 
 63818344 1.577228759e+00 1.386003787e+03 1.385215483e+03 3.093561067e-04 1.283230158e-01 2.880753560e-02 9.684000000e+00 
455509774 3.903413352e+00 1.626637510e+03 1.624831673e+03 5.868641397e-02 1.470359804e-01 1.128325415e-01 5.182300000e+00 
455178154 8.290551037e+00 1.491766235e+03 1.488053557e+03 8.016390617e-02 3.439158772e-01 3.871020557e-01 9.045300000e+00 
100917608 4.123861374e+00 1.388325193e+03 1.386263366e+03 3.920890321e-05 3.923976267e-01 3.913488487e-01 1.140480000e+01 
